Code INSEE,Numéro de téléphone
94589,+33 XXXXXXXXX
11575,0123456789
50331,+33 736376067
18823,+33 744713676
67759,0A1B2C3D4E
85966,+33 728876741
27997,0A1B2C3D4E
30552,+33 747677952
80454,0613738674
73158,+33 XXXXXXXXX
64489,0654891929
28647,0616508960
94740,0998765432
78570,+33 780857686
79860,0632571630
81347,0123456789
51635,0998765432
46428,+33 711394327
62816,0A1B2C3D4E
21719,0123456789
37356,0123456789
31977,+33 653313562
11699,+33 XXXXXXXXX
69689,0998765432
56998,0998765432
69864,0000000000
89136,0123456789
91836,0000000000
16792,0123456789
38439,+33 712947083
18150,1234567890
25217,0A1B2C3D4E
84868,+33 797402865
19196,0617380046
23751,0000000000
42593,+33 790574536
39804,0631030669
54833,0123456789
24288,0A1B2C3D4E
46457,0000000000
64086,0716806638
24549,+33 XXXXXXXXX
58988,+33 XXXXXXXXX
67462,1234567890
88371,0998765432
89335,0672550270
12441,1234567890
86898,0749622376
84844,0639358975
72319,0740429571
53520,0606288265
20644,+33 653432910
30443,+33 658242933
95538,+33 771603459
64666,0708305876
52776,0123456789
65176,0757118038
81903,0000000000
46965,0000000000
31927,0998765432
79597,1234567890
50805,+33 XXXXXXXXX
48756,0123456789
49145,+33 698866178
24064,0614853454
31801,0A1B2C3D4E
14440,0000000000
61464,0A1B2C3D4E
27725,+33 706483151
21538,+33 XXXXXXXXX
68486,1234567890
66133,+33 XXXXXXXXX
95839,0687137842
80338,0743474280
43731,+33 754194702
78982,0729645274
49414,0A1B2C3D4E
66822,0682614009
66519,0998765432
53636,1234567890
65583,0000000000
62551,0000000000
76614,0752111065
13099,0998765432
78025,0729756412
83457,0998765432
57583,0789970898
83963,0603283470
37217,+33 741483940
87407,0754583360
64886,0998765432
64821,0123456789
87239,+33 734105041
95007,+33 710451128
53960,0673810150
22041,0123456789
69197,+33 XXXXXXXXX
27564,0A1B2C3D4E
32645,+33 613531631
80989,1234567890
