insee,telephone
13055,0635286933
59009,0646198622
44109,0633739237
69029,0612047600
31069,0666053603
13055,0691084235
69029,0676393027
75056,0641166857
44109,0621189700
69029,0629616241
31069,0668784905
44109,0613822912
31069,0673847348
13055,0690370771
75056,0695576230
69029,0642682136
31069,0681530225
75056,0679928848
75056,0695689222
75056,0638367923
31069,0659669467
69029,0655407301
75056,0671888304
59009,0654047246
69029,0631716582
13055,0663819859
13055,0673092370
13055,0661330424
31069,0660569952
59009,0696303717
75056,0663901712
44109,0664577844
75056,0626894206
13055,0668485596
44109,0634238531
44109,0659679326
75056,0695653959
59009,0659394769
44109,0614671325
75056,0694288246
13055,0693822573
75056,0632808504
13055,0692576563
13055,0695310628
44109,0649397189
13055,0638564857
31069,0688822761
13055,0631171974
44109,0669481677
69029,0646779697
59009,0688286374
75056,0620048081
59009,0678781730
31069,0667776540
75056,0613537166
75056,0698173823
44109,0631460721
31069,0676644185
69029,0691403444
31069,0673122210
75056,0622379810
69029,0694201699
31069,0679099779
13055,0693403930
59009,0688657428
31069,0610207116
69029,0638508974
69029,0666628873
59009,0637553579
44109,0669500238
69029,0620470107
59009,0647572764
59009,0614161228
75056,0646575674
59009,0649348848
75056,0694746555
31069,0645589875
69029,0624602777
69029,0652504261
44109,0621721591
69029,0648603543
44109,0691532454
69029,0691868378
31069,0647738559
31069,0681511600
31069,0684863763
75056,0632563033
31069,0677064999
75056,0638071702
59009,0684715565
31069,0683638831
13055,0690863838
59009,0661262775
75056,0640604894
59009,0670244741
31069,0650052383
59009,0633309364
13055,0616048402
13055,0633552170
13055,0674909932
13055,0649175416
13055,0663506066
13055,0657260989
44109,0697596080
69029,0616618743
69029,0690413665
31069,0627112978
44109,0617352190
31069,0671805695
75056,0636406676
13055,0667137158
44109,0623562817
59009,0668930303
44109,0662995392
75056,0676175355
31069,0611077667
75056,0626546252
69029,0659796557
13055,0665830640
44109,0638528139
44109,0610149947
59009,0636728531
31069,0621783462
13055,0617373629
13055,0651126907
31069,0614843913
13055,0662663533
44109,0640740199
59009,0648810156
44109,0614839632
13055,0699502923
44109,0615934166
31069,0635715137
69029,0697103900
13055,0665509649
31069,0637031286
59009,0615835519
59009,0662774864
59009,0652403914
31069,0631012158
31069,0627759379
59009,0660205585
75056,0650495220
69029,0631419874
13055,0672490863
44109,0666379239
31069,0624391692
75056,0671336227
59009,0612930339
31069,0677517247
13055,0649716916
13055,0677756599
75056,0613404364
69029,0660007096
44109,0698492167
59009,0679165310
75056,0651625435
44109,0696232470
75056,0648591100
75056,0668002761
59009,0629210794
44109,0628119675
69029,0694274073
69029,0672373059
59009,0650493596
13055,0634015457
44109,0663514537
69029,0626704253
31069,0694383939
13055,0693836871
44109,0673423186
59009,0656310296
59009,0681105421
13055,0697684703
44109,0657391494
44109,0642839234
13055,0658904616
75056,0685815989
13055,0646470455
13055,0631229057
31069,0688809393
59009,0642768553
69029,0688188951
31069,0667705947
69029,0634812192
59009,0646742601
13055,0672158847
59009,0696466675
69029,0667467863
44109,0629766857
999999,075678901234
999999,075678901234
00000,06abcdef12
123,06abcdef12
ABCDE,0323456789
ABCDE,0323456789
ABCDE,12345
123,+33 6 1234567
123,075678901234
75A56,+33 6 1234567
